,urn,title,authors,year
4357,URN:NBN:no-nb_digibok_2019082707050,Tuba luba. 1 : 4. klasse Oppgavehefte,"Sporstøl , Ebba-Marie",2013
365,URN:NBN:no-nb_digibok_2013071608110,Zeppelin : [7. trinn] Lesebok 7 pluss,"Holm , Dagny / Løkken , Bjørg Gilleberg / Bjørkvold , Tuva",2013
1218,URN:NBN:no-nb_digibok_2013071508208,Mamma Mia,"Andersen , Torill",2013
4361,URN:NBN:no-nb_digibok_2013072408135,Norges største skatt,"Ersland , Bjørn Arild",2013
1948,URN:NBN:no-nb_digibok_2013072408136,Flagg,"Ersland , Bjørn Arild",2013
3390,URN:NBN:no-nb_digibok_2020011007072,ABC-toget : Raud 1,"Devold , Else H.",2013
3980,URN:NBN:no-nb_digibok_2018091705037,Regleflyet,"Wegge , Kathrine / Kristensen , Thor W. ( Thor Walter )",2013
3975,URN:NBN:no-nb_digibok_2019052107053,Signatur 3 : norsk påbygging : studiekompetanse,"Andresen , Øyvind",2013
3329,URN:NBN:no-nb_digibok_2013071808088,Min,"Andersen , Torill",2013
621,URN:NBN:no-nb_digibok_2021010807556,Kaleido : [1. klasse] Lese- og skrivebok 1A,"Andersen , Torill",2013
3314,URN:NBN:no-nb_digibok_2013071008079,Signatur 3 : norsk påbygging : studiekompetanse,"Andresen , Øyvind",2013
735,URN:NBN:no-nb_digibok_2017112748051,Kinesisk mandarin : porten til midtens rike. 1,"Gjerull , Sofie Xiaofen",2013
4104,URN:NBN:no-nb_digibok_2013072408144,Per får en venn,"Fjeld , Siw Monica",2013
3955,URN:NBN:no-nb_digibok_2021021907572,Salto : [1. trinn] Elevbok : store bokstaver,"Fjeld , Siw Monica",2013
3302,URN:NBN:no-nb_digibok_2013071808086,Lilla sil,"Andersen , Torill",2013
1913,URN:NBN:no-nb_digibok_2018090607036,Godt lest : Lesebok,"Hanssen , Ellen",2013
3954,URN:NBN:no-nb_digibok_2018101107173,Dykking,"Ersland , Bjørn Arild",2013
723,URN:NBN:no-nb_digibok_2013073008054,Superhelten Jan,"Bringsværd , Tor Åge",2013
3651,URN:NBN:no-nb_digibok_2019081407054,Ordriket : Lesebok 3B,,2013
2470,URN:NBN:no-nb_digibok_2018082048088,Kroppen,"Johnsen , Janne Aasebø",2013
3991,URN:NBN:no-nb_digibok_2018082048086,Ein hemmeleg ting i sekken,"Ersland , Bjørn Arild",2013
2448,URN:NBN:no-nb_digibok_2018082207105,Damir får en fugl,"Ersland , Bjørn Arild",2013
4336,URN:NBN:no-nb_digibok_2018082048089,Hund,"Ersland , Bjørn Arild",2013
1174,URN:NBN:no-nb_digibok_2018082207087,Maia lagar ein rakett,"Ersland , Bjørn Arild",2013
4727,URN:NBN:no-nb_digibok_2018061307534,Regnbogen,"Johnsen , Janne Aasebø",2013
1970,URN:NBN:no-nb_digibok_2021010607588,ABC-toget : Blå 2,"Devold , Else H.",2013
1961,URN:NBN:no-nb_digibok_2020110507824,Salto : [1. trinn] Arbeidsbok A : løkkeskrift,"Fjeld , Siw Monica",2013
